jurisdiccion,fecha,salario_promedio
Córdoba,2022-09-01,150660.05600394652
Entre Ríos,2022-09-01,142990.2480522808
Formosa,2022-09-01,130316.37440038093
Jujuy,2022-09-01,151274.8435087775
La Pampa,2022-09-01,153937.22635081605
La Rioja,2022-09-01,132707.49676968338
Mendoza,2022-09-01,139343.78083439535
Misiones,2022-09-01,120075.73975452193
Neuquén,2022-09-01,302570.7179859126
Río Negro,2022-09-01,175831.20295966216
Salta,2022-09-01,142993.64173339712
San Juan,2022-09-01,146382.32305519417
San Luis,2022-09-01,160999.34578306007
Santa Cruz,2022-09-01,332626.01762361947
Santa Fe,2022-09-01,164724.1751957019
Santiago del Estero,2022-09-01,116239.73685509375
Tierra del Fuego,2022-09-01,222753.34615526532
Tucumán,2022-09-01,125354.69014536924
Buenos Aires,2022-10-01,185485.00511559108
C.A.B.A.,2022-10-01,225537.2741762556
Catamarca,2022-10-01,145069.82911712962
Chaco,2022-10-01,134864.29445318243
Chubut,2022-10-01,293251.0190566651
Corrientes,2022-10-01,136341.19651727294
Córdoba,2022-10-01,158782.5336589718
Entre Ríos,2022-10-01,149463.21352259672
Formosa,2022-10-01,141627.59244563337
Jujuy,2022-10-01,156428.9092870224
La Pampa,2022-10-01,159201.00224341085
La Rioja,2022-10-01,140413.9770663131
Mendoza,2022-10-01,147648.8990710239
Misiones,2022-10-01,129834.57261895202
Neuquén,2022-10-01,308191.77468765294
Río Negro,2022-10-01,183077.91537897155
Salta,2022-10-01,150490.09645301403
San Juan,2022-10-01,157124.32006296745
San Luis,2022-10-01,168708.59386131002
Santa Cruz,2022-10-01,327498.798375147
Santa Fe,2022-10-01,174171.61125710965
Santiago del Estero,2022-10-01,121580.39209587949
Tierra del Fuego,2022-10-01,240451.09216214292
Tucumán,2022-10-01,136512.8647298296
Buenos Aires,2022-11-01,197344.68564828354
C.A.B.A.,2022-11-01,242387.07060433
Catamarca,2022-11-01,156177.9100722383
Chaco,2022-11-01,144360.69640078713
Chubut,2022-11-01,315152.36725219403
Corrientes,2022-11-01,147293.17154981504
Córdoba,2022-11-01,172368.44281252404
Entre Ríos,2022-11-01,161782.0415284171
Formosa,2022-11-01,155282.11470739677
Jujuy,2022-11-01,164404.276319879
La Pampa,2022-11-01,172438.59694785313
La Rioja,2022-11-01,150382.2139215488
Mendoza,2022-11-01,156334.92018947555
Misiones,2022-11-01,141140.0802680095
Neuquén,2022-11-01,338480.41544774256
Río Negro,2022-11-01,194300.34724530613
Salta,2022-11-01,160930.28336109262
San Juan,2022-11-01,167330.3017609903
San Luis,2022-11-01,179633.4922724913
Santa Cruz,2022-11-01,354714.5943527747
Santa Fe,2022-11-01,186716.64669971322
Santiago del Estero,2022-11-01,131929.07513810124
Tierra del Fuego,2022-11-01,268252.9043400405
Tucumán,2022-11-01,146875.6550794248
Buenos Aires,2022-12-01,311308.81949632725
C.A.B.A.,2022-12-01,370940.04210231546
Catamarca,2022-12-01,245659.64712167566
Chaco,2022-12-01,222838.98958481377
